company_id,period,year,free_cash_flow_cr,capex_cr,capex_intensity_pct,fcf_conversion_rate_pct,capital_allocation_pattern
ABB,Dec 2012,2012.0,42.0,59.0,3.569267997580157,28.965517241379313,FCF Positive
ABB,Mar 2014,2014.0,0.0,0.0,0.0,0.0,FCF Negative
ABB,Mar 2015,2015.0,-1899.0,1864.0,81.43294014853649,-829.2576419213974,FCF Negative
ABB,Mar 2016,2016.0,728.0,816.0,31.216526396327467,285.4901960784314,FCF Positive
ABB,Mar 2017,2017.0,459.0,1730.0,59.59352394075095,165.70397111913357,FCF Positive
ABB,Mar 2018,2018.0,-994.0,3192.0,96.78593086719223,-247.88029925187033,FCF Negative
ABB,Mar 2019,2019.0,-459.0,3050.0,82.90296276162,-102.0,FCF Negative
ABB,Mar 2020,2020.0,-206.0,5643.0,137.86953334962132,-34.73861720067454,FCF Negative
ABB,Mar 2021,2021.0,-225.0,4009.0,93.01624129930394,-32.56150506512301,FCF Negative
ABB,Mar 2022,2022.0,161.0,3936.0,80.11398330958681,20.150187734668336,FCF Positive
ABB,Mar 2023,2023.0,-922.0,4699.0,87.84819592447187,-97.15489989462593,FCF Negative
ABB,Mar 2024,2024.0,1095.0,4943.0,84.51017267909045,91.17402164862615,FCF Positive
ABB,Sep 2024,2024.0,,,,,FCF Negative
ABB,TTM,,,,,,FCF Negative
ADANIENSOL,Mar 2014,2014.0,0.0,0.0,,,FCF Negative
ADANIENSOL,Mar 2015,2015.0,-1899.0,1864.0,1422.9007633587787,27128.571428571428,FCF Negative
ADANIENSOL,Mar 2016,2016.0,728.0,816.0,37.192342752962624,197.82608695652172,FCF Positive
ADANIENSOL,Mar 2017,2017.0,459.0,1730.0,60.15299026425591,110.33653846153845,FCF Positive
ADANIENSOL,Mar 2018,2018.0,-994.0,3192.0,80.93306288032454,-86.96412948381452,FCF Negative
ADANIENSOL,Mar 2019,2019.0,-459.0,3050.0,41.752224503764545,-82.11091234347049,FCF Negative
ADANIENSOL,Mar 2020,2020.0,-206.0,5643.0,49.43062368605466,-29.178470254957507,FCF Negative
ADANIENSOL,Mar 2021,2021.0,-225.0,4009.0,40.38887769494258,-17.441860465116278,FCF Negative
ADANIENSOL,Mar 2022,2022.0,161.0,3936.0,34.96180493871025,13.025889967637541,FCF Positive
ADANIENSOL,Mar 2023,2023.0,-922.0,4699.0,35.34943203189649,-71.97501951600313,FCF Negative
ADANIENSOL,Mar 2024,2024.0,1095.0,4943.0,29.764557114469802,91.5551839464883,FCF Positive
ADANIENSOL,Sep 2024,2024.0,,,,,FCF Negative
ADANIENSOL,TTM,,,,,,FCF Negative
