SPRINT 2 RATIO EDGE CASE LOG
Categories: data_source_issue, version_difference, formula_discrepancy

ROE | company=1 year=2025 | computed=22.5013 source=0.5200 | category=data_source_issue
ROCE | company=2 year=2025 | computed=37.2719 source=999.0000 | category=data_source_issue
ROCE | company=29 year=2025 | computed=18.1330 source=28.0992 | category=data_source_issue
ROCE | company=30 year=2025 | computed=21.2931 source=41.3389 | category=data_source_issue
ROCE | company=31 year=2025 | computed=22.4559 source=42.1776 | category=data_source_issue
ROCE | company=32 year=2025 | computed=23.6038 source=42.9733 | category=data_source_issue
ROCE | company=33 year=2025 | computed=24.7373 source=43.7313 | category=data_source_issue
ROCE | company=34 year=2025 | computed=25.8571 source=44.4561 | category=data_source_issue
ROCE | company=35 year=2025 | computed=17.9758 source=30.1012 | category=data_source_issue
ROCE | company=36 year=2025 | computed=19.1302 source=31.2419 | category=data_source_issue
ROCE | company=37 year=2025 | computed=20.2709 source=32.3255 | category=data_source_issue
ROCE | company=38 year=2025 | computed=21.3983 source=33.3580 | category=data_source_issue
ROCE | company=39 year=2025 | computed=22.5129 source=51.7055 | category=data_source_issue
ROCE | company=40 year=2025 | computed=26.0804 source=49.1831 | category=data_source_issue
ROCE | company=41 year=2025 | computed=27.2503 source=49.8305 | category=data_source_issue
ROCE | company=42 year=2025 | computed=18.9370 source=33.6354 | category=data_source_issue
ROCE | company=43 year=2025 | computed=20.1454 source=34.8094 | category=data_source_issue
ROCE | company=44 year=2025 | computed=21.3386 source=35.9200 | category=data_source_issue
ROCE | company=45 year=2025 | computed=22.5171 source=36.9743 | category=data_source_issue
ROCE | company=46 year=2025 | computed=23.6815 source=37.9783 | category=data_source_issue
ROCE | company=47 year=2025 | computed=24.8322 source=38.9372 | category=data_source_issue
ROCE | company=48 year=2025 | computed=25.9699 source=39.8555 | category=data_source_issue
ROCE | company=49 year=2025 | computed=18.0633 source=27.1580 | category=data_source_issue
ROCE | company=50 year=2025 | computed=21.1791 source=38.8941 | category=data_source_issue
ROCE | company=51 year=2025 | computed=22.4256 source=40.0143 | category=data_source_issue
ROCE | company=52 year=2025 | computed=23.6558 source=48.5567 | category=data_source_issue
ROCE | company=53 year=2025 | computed=24.8705 source=42.0791 | category=data_source_issue
ROCE | company=54 year=2025 | computed=26.0702 source=43.0365 | category=data_source_issue
ROCE | company=55 year=2025 | computed=27.2555 source=43.9510 | category=data_source_issue
ROCE | company=56 year=2025 | computed=18.9512 source=29.8846 | category=data_source_issue
ROCE | company=57 year=2025 | computed=20.1715 source=31.1373 | category=data_source_issue
ROCE | company=58 year=2025 | computed=21.3773 source=32.3324 | category=data_source_issue
ROCE | company=59 year=2025 | computed=22.5692 source=33.4752 | category=data_source_issue
ROCE | company=60 year=2025 | computed=26.0806 source=46.7430 | category=data_source_issue
ROCE | company=61 year=2025 | computed=27.3298 source=47.6768 | category=data_source_issue
ROCE | company=62 year=2025 | computed=28.5632 source=48.5668 | category=data_source_issue
ROCE | company=63 year=2025 | computed=19.8543 source=32.9451 | category=data_source_issue
ROCE | company=64 year=2025 | computed=21.1262 source=34.2500 | category=data_source_issue
ROCE | company=65 year=2025 | computed=22.3823 source=45.4784 | category=data_source_issue
ROCE | company=66 year=2025 | computed=23.6232 source=36.6728 | category=data_source_issue
ROCE | company=67 year=2025 | computed=24.8494 source=37.8025 | category=data_source_issue
ROCE | company=68 year=2025 | computed=26.0615 source=38.8843 | category=data_source_issue
ROCE | company=69 year=2025 | computed=27.2599 source=39.9226 | category=data_source_issue
ROCE | company=70 year=2025 | computed=20.7729 source=36.4047 | category=data_source_issue
ROCE | company=71 year=2025 | computed=22.0971 source=37.7536 | category=data_source_issue
ROCE | company=72 year=2025 | computed=23.4041 source=39.0311 | category=data_source_issue
ROCE | company=73 year=2025 | computed=24.6946 source=40.2444 | category=data_source_issue
ROCE | company=74 year=2025 | computed=25.9691 source=41.4000 | category=data_source_issue
ROCE | company=75 year=2025 | computed=27.2282 source=42.5035 | category=data_source_issue
ROCE | company=76 year=2025 | computed=28.4725 source=43.5598 | category=data_source_issue
ROCE | company=77 year=2025 | computed=19.8016 source=29.7154 | category=data_source_issue
ROCE | company=78 year=2025 | computed=21.0807 source=42.4563 | category=data_source_issue
ROCE | company=79 year=2025 | computed=22.3451 source=32.3379 | category=data_source_issue
ROCE | company=80 year=2025 | computed=25.7839 source=44.2596 | category=data_source_issue
ROCE | company=81 year=2025 | computed=27.1072 source=45.4286 | category=data_source_issue
ROCE | company=82 year=2025 | computed=28.4139 source=46.5415 | category=data_source_issue
ROCE | company=83 year=2025 | computed=29.7046 source=47.6040 | category=data_source_issue
ROCE | company=84 year=2025 | computed=20.6531 source=32.4139 | category=data_source_issue
ROCE | company=85 year=2025 | computed=21.9816 source=33.8156 | category=data_source_issue
ROCE | company=86 year=2025 | computed=23.2941 source=35.1540 | category=data_source_issue
ROCE | company=87 year=2025 | computed=24.5911 source=36.4347 | category=data_source_issue
ROCE | company=88 year=2025 | computed=55.5027 source=168.9613 | category=data_source_issue
ROCE | company=89 year=2025 | computed=57.7100 source=160.5594 | category=data_source_issue
ROCE | company=90 year=2025 | computed=30.9567 source=52.1277 | category=data_source_issue
ROCE | company=91 year=2025 | computed=21.5183 source=39.4795 | category=data_source_issue
ROCE | company=92 year=2025 | computed=22.8968 source=36.8821 | category=data_source_issue
